Question,Answer,Category,Keywords,Entities
What are HR policies?,"HR policies include attendance, leave, conduct, and performance evaluation. You can find the complete policy document at hr.company.com/policies",HR,"hr,policies,leave,conduct,performance,attendance,guidelines",policy_type:general
How to apply for leave?,"You can apply for leave via the self-service portal under the Leave section. Required documents: medical certificate for sick leave, travel itinerary for annual leave.",HR,"leave,apply,holiday,self-service,request,time-off",leave_type:general
What is the leave policy?,"Employees are entitled to 20 days of annual leave and 10 days of sick leave. Additional 5 days of emergency leave per year.",HR,"leave,policy,annual,sick,emergency,entitlement",leave_type:policy
How to update my profile?,"Navigate to Employee Self Service > My Profile to update your information. Required fields: contact number, emergency contact, address.",HR,"profile,update,employee,self service,information,details",profile_section:general
Where can I find my payslip?,"Payslips are available under Payroll > Payslips in the ERP portal. They are generated on the 28th of each month.",HR,"payslip,payroll,salary,compensation,earnings",document_type:payslip
Who to contact for HR issues?,"Contact the HR helpdesk at hr-support@company.com or call extension 1234. Response time: within 24 hours.",HR,"hr,contact,help,issue,support,assistance",contact_type:hr_support
How to update my skills?,"Go to HR > Skills Development to update your skills profile. Required: Annual update.",HR,"skills,update,development,profile,competency,training",action_type:skill_update
What are the performance review dates?,"Performance reviews are conducted quarterly. Next review: {current_date + 30 days}.",HR,"performance,review,appraisal,evaluation,assessment,date",review_type:performance
How to request a salary advance?,"Submit a request under HR > Salary Advance. Maximum advance: 50% of monthly salary.",HR,"salary,advance,request,loan,emergency,payment",request_type:salary_advance
What are the health insurance benefits?,"Health insurance covers medical, dental, and vision. Coverage details: HR > Benefits > Insurance.",HR,"health,insurance,benefits,medical,coverage,plan",benefit_type:insurance
How to report workplace harassment?,"Contact HR immediately at hr@company.com or use the anonymous hotline. All reports are confidential.",HR,"harassment,report,workplace,complaint,incident,abuse",incident_type:harassment
How to submit an expense report?,"Expense reports can be submitted via Finance > Expenses > New Report. Maximum reimbursement: $1000 per month.",Finance,"expense,submit,report,finance,claim,reimbursement",report_type:expense
Where to see my reimbursements?,"Check Finance > Reimbursements for status and history. Processing time: 5-7 business days.",Finance,"reimbursements,finance,history,status,payment",document_type:reimbursement
When are salaries processed?,"Salaries are processed on the 28th of every month. Payment method: Direct deposit to registered bank account.",Finance,"salary,process,pay,monthly,compensation,payment",payment_type:salary
How to raise a purchase order?,"Purchase Orders can be raised under Procurement > New PO. Required approvals: Department Head and Finance Manager.",Finance,"purchase,order,po,raise,procurement,buy",document_type:purchase_order
Can I download my tax documents?,"Yes, go to Finance > Tax Documents to view and download. Available for current and previous fiscal years.",Finance,"tax,download,documents,finance,statement,record",document_type:tax
Where to find budget allocations?,"Budget allocations are listed under Finance > Budgets > Allocation. Updated quarterly.",Finance,"budget,allocation,finance,planning,resources",document_type:budget
What are the payment terms?,"Standard payment terms: Net 30. Early payment discount: 2% if paid within 10 days.",Finance,"payment,terms,conditions,credit,settlement,due",term_type:payment
How to generate financial reports?,"Access Finance > Reports to generate financial statements. Available reports: P&L, Balance Sheet, Cash Flow.",Finance,"financial,reports,statements,generate,create,print",report_type:financial
What are the budget approval levels?,"Budget approval levels: Manager ($10k), Director ($50k), VP ($100k), CEO ($500k+).",Finance,"budget,approval,levels,authority,limit,threshold",approval_type:budget
How to reorder items?,"You can reorder from the 'Reorder Items' under Inventory Management. Minimum order quantity: 10 units.",Inventory,"reorder,items,inventory,stock,purchase,quantity",order_type:reorder
Where is the inventory report?,"Go to Inventory > Reports > Stock Summary for the report. Available formats: PDF, Excel, CSV.",Inventory,"inventory,report,stock,summary,analysis,data",report_type:stock_summary
How to add new stock?,"Navigate to Inventory > Add Stock to enter new stock details. Required fields: item code, quantity, supplier, cost.",Inventory,"add,stock,new,inventory,create,entry",action_type:add_stock
What happens when stock is low?,"The system triggers a reorder notification when stock falls below threshold. Default threshold: 20% of max stock.",Inventory,"stock,low,reorder,threshold,alert,notification",alert_type:low_stock
Can I transfer stock between warehouses?,"Yes, use the Transfer Stock option under Warehouse Management. Required approval: Warehouse Manager.",Inventory,"transfer,stock,warehouse,move,relocate,location",transfer_type:warehouse
How to track item expiry?,"Go to Inventory > Item Expiry to manage perishable stock. Alerts are sent 30 days before expiry.",Inventory,"expiry,track,items,inventory,perishable,date",tracking_type:expiry
How to track inventory movement?,"Use Inventory > Movement Tracking to monitor stock transfers. Real-time updates available.",Inventory,"inventory,movement,track,transfer,flow,monitor",tracking_type:movement
What are the stock categories?,"Stock categories include: Raw Materials, Finished Goods, WIP, and Consumables. See Inventory > Categories.",Inventory,"stock,categories,classification,type,group,items",category_type:stock
How to conduct a stock audit?,"Follow the process in Inventory > Audit. Required: Department Head approval, minimum 2 auditors.",Inventory,"stock,audit,count,verify,check,inventory",action_type:audit
How to reset my password?,"Use the 'Forgot Password' link on the login page to reset. Password requirements: 8 characters, 1 uppercase, 1 number.",Support,"password,reset,forgot,login,security,access",action_type:password_reset
Who to contact for technical issues?,"Reach out to the IT support at it-support@company.com or call extension 5678. Response time: within 4 hours.",Support,"contact,technical,it,support,help,assistance",contact_type:it_support
How to access the ERP off-site?,"Use VPN and login through the secure portal at vpn.company.com. Required: 2FA authentication.",Support,"access,erp,off-site,vpn,remote,connection",access_type:remote
What to do if ERP is down?,"Notify IT support immediately and monitor the status page at status.company.com. Expected resolution: 2 hours.",Support,"erp,down,issue,it,outage,maintenance",issue_type:system_down
Can I integrate ERP with third-party tools?,"Yes, use the API documentation available under Developer Tools. Rate limit: 1000 requests per hour.",Support,"integrate,api,third-party,tools,connect,automation",integration_type:api
Where to find the user manual?,"User manuals are under Help > Documentation on the ERP portal. Available in English, Spanish, and French.",Support,"user manual,help,documentation,erp,guide,reference",document_type:manual
How to handle system errors?,"Check the error code and refer to Support > Error Codes. If unresolved, contact IT support.",Support,"system,errors,issues,problems,troubleshoot,fix",issue_type:system_error
What are the backup procedures?,"System backups run daily at 2 AM. Retention period: 30 days. See IT > Backup for details.",Support,"backup,procedures,data,recovery,restore,storage",procedure_type:backup
How to request system access?,"Submit a request under IT > Access Request. Required: Manager approval, security training completion.",Support,"system,access,request,permission,authorization,login",request_type:access
